iter	Passed	Remaining
0	2	252
1	4	219
2	6	205
3	8	197
4	10	195
5	12	195
6	14	190
7	16	187
8	18	184
9	20	180
10	22	180
11	24	178
12	26	176
13	28	174
14	30	171
15	32	170
16	34	168
17	36	167
18	39	166
19	41	165
20	43	164
21	45	161
22	47	158
23	49	155
24	51	153
25	53	151
26	55	150
27	57	147
28	59	145
29	61	143
30	63	141
31	65	139
32	68	138
33	70	135
34	72	133
35	74	132
36	76	130
37	78	128
38	80	126
39	82	124
40	84	122
41	85	118
42	87	116
43	89	113
44	91	111
45	93	109
46	95	107
47	97	105
48	99	103
49	102	102
50	104	100
51	106	98
52	108	96
53	110	94
54	112	91
55	114	89
56	116	87
57	118	85
58	120	83
59	122	81
60	124	79
61	126	77
62	128	75
63	130	73
64	132	71
65	134	69
66	136	67
67	138	65
68	140	63
69	142	61
70	144	59
71	146	56
72	148	54
73	150	52
74	152	50
75	154	48
76	156	46
77	158	44
78	161	42
79	162	40
80	164	38
81	166	36
82	168	34
83	170	32
84	172	30
85	174	28
86	176	26
87	178	24
88	180	22
89	182	20
90	184	18
91	186	16
92	188	14
93	191	12
94	193	10
95	194	8
96	196	6
97	198	4
98	200	2
99	202	0
